aula,resolucion,situacion,coleccion,codigo,asignatura,programa,notas_existentes,con_nota,de_systemactiva,editadas_a_mano,acta_cerrada,conflicto_con_oferta
154,OK,ya importaba,BAC Upgrade ES,ENG 440,Professional Writing in Business,Bachelor of Arts in Accounting,76,44,76,0,0,
155,OK,ya importaba,BAC Upgrade ES,COM 205,Fundamentals of Oral Communication,Bachelor of Arts in Accounting,3,1,3,0,0,SÍ — la oferta apuntaba a otra asignatura
159,OK,ya importaba,BAC Upgrade ES,MIC 108,Microeconomics,Bachelor of Arts in Accounting,138,124,100,21,0,
172,OK,ya importaba,BBA Full ES,CIS 109,Computer Science I,Bachelor of Science in Business Administration,30,27,30,0,0,
175,OK,ya importaba,BBA Full ES,CBU 200,Calculus for Business,Bachelor of Science in Business Administration,20,15,20,0,0,
176,OK,ya importaba,BBA Full ES,MAC 201,Macroeconomics,Bachelor of Science in Business Administration,20,18,20,0,0,
177,OK,ya importaba,BBA Full ES,CIS 320,Computer Science II,Bachelor of Science in Business Administration,21,19,21,0,0,
179,OK,ya importaba,BBA Full ES,FIN 260,Principles of Financial Accounting,Bachelor of Science in Business Administration,20,16,20,0,0,
180,OK,ya importaba,BBA Full ES,BUS 290,Management of Organizations,Bachelor of Science in Business Administration,20,19,20,0,0,
181,OK,NUEVA,BBA Full ES,BLA 230,Business Law,Bachelor of Science in Business Administration,16,8,16,0,0,
182,OK,ya importaba,BBA Full ES,COM 450,Business and Professional Communication,Bachelor of Science in Business Administration,347,266,340,7,0,
183,OK,ya importaba,BBA Full ES,MAR 330,Sales Management,Bachelor of Science in Business Administration,599,527,591,2,0,
184,OK,ya importaba,BBA Full ES,FIN 320,Financial Mathematics,Bachelor of Science in Business Administration,20,16,20,0,0,
185,OK,ya importaba,BBA Full ES,HRM 280,Human Resource Management,Bachelor of Science in Business Administration,20,18,20,0,0,
186,OK,NUEVA,BBA Full ES,MIS 470,Management Information System,Bachelor of Science in Business Administration,589,486,589,0,0,
